"id","name","birthDate","power","gender","color"
"0","Ronaldo Valryon","Sun Dec 22 02:11:40 IST 1968","65","FEMALE","BLUE"
"1","Evert Vermithrax","Sat May 31 19:46:47 IST 1969","12","MALE","BLUE"
"2","Duane Ghiscar","Tue Dec 17 13:16:24 IST 1968","61","MALE","RED"
"3","Bud Syrax","Wed Apr 09 06:42:39 IST 1969","85","MALE","BLACK"
"4","Taurean Caraxes","Wed Nov 27 10:55:12 IST 1968","15","FEMALE","BROWN"
"5","Santa Meraxes","Sun May 04 07:03:59 IST 1969","81","MALE","RED"
"6","Reginald Tyraxes","Tue Jul 01 17:52:55 IST 1969","22","FEMALE","RED"
"7","Nash Archonei","Tue Feb 25 00:40:38 IST 1969","66","FEMALE","GREEN"
"8","Hazel Drogon","Wed Nov 20 13:16:32 IST 1968","66","FEMALE","GRAY"
"9","Lexie Caraxes","Sun Jun 08 14:51:41 IST 1969","53","MALE","BLUE"
"10","Declan Valryon","Thu Aug 22 18:40:44 IST 1968","92","MALE","GREEN"
"11","Adonis Sunfyre","Tue Feb 25 11:37:07 IST 1969","76","FEMALE","YELLOW"
"12","Precious Tyraxes","Tue Jul 16 09:37:58 IST 1968","74","FEMALE","BLUE"
"13","Tommie Syrax","Sat Sep 21 19:26:55 IST 1968","75","MALE","GRAY"
"14","Carolyn Viserion","Sun Apr 27 06:52:36 IST 1969","74","MALE","GREEN"
"15","Angus Vermithrax","Sat Feb 08 18:36:37 IST 1969","78","FEMALE","WHITE"
"16","Anita Meraxes","Sun May 25 09:07:33 IST 1969","37","MALE","BROWN"
"17","Iva Sunfyre","Thu Jul 10 03:25:38 IST 1969","56","MALE","BROWN"
"18","Lucy Tyraxes","Thu Feb 20 19:59:04 IST 1969","21","MALE","BLACK"
"19","Brandy Drogon","Mon May 19 12:06:31 IST 1969","17","FEMALE","GREEN"
"20","Citlalli Balerion","Sun Dec 29 07:49:54 IST 1968","84","FEMALE","GREEN"
"21","Hanna Dreamfyre","Sat Nov 23 21:47:10 IST 1968","94","FEMALE","BLUE"
"22","Haley Valryon","Fri Oct 18 11:30:50 IST 1968","78","MALE","GREEN"
"23","Retha Morghul","Sun Mar 02 13:46:54 IST 1969","82","FEMALE","BLACK"
"24","Annamarie Rhaegal","Sun Feb 09 11:38:16 IST 1969","22","MALE","GRAY"
"25","Kaitlyn Meleys","Tue Feb 04 05:41:28 IST 1969","63","FEMALE","WHITE"
"26","Arnold Meraxes","Tue Oct 01 04:26:29 IST 1968","75","MALE","BROWN"
"27","Hollis Viserion","Fri May 30 00:15:41 IST 1969","49","FEMALE","RED"
"28","Mckenzie Shrykos","Sun Nov 10 23:06:24 IST 1968","31","FEMALE","BLACK"
"29","Jana Sunfyre","Mon Sep 02 04:47:48 IST 1968","66","FEMALE","BLUE"
"30","Frankie Vhagar","Fri Dec 27 06:51:44 IST 1968","65","MALE","GREEN"
"31","Kevin Balerion","Sat Jun 14 03:27:10 IST 1969","73","MALE","BROWN"
"32","Marge Drogon","Mon Dec 23 20:18:22 IST 1968","53","FEMALE","BLUE"
"33","Leone Dreamfyre","Tue Jun 17 02:07:02 IST 1969","54","MALE","WHITE"
"34","Laurine Vermithrax","Sun Sep 29 06:03:20 IST 1968","62","MALE","BLUE"
"35","Spencer Shrykos","Thu Jul 10 04:50:06 IST 1969","43","MALE","WHITE"
"36","Marielle Drogon","Thu May 29 19:03:48 IST 1969","88","MALE","GRAY"
"37","Jabari Sunfyre","Thu Sep 05 14:29:51 IST 1968","79","MALE","GREEN"
"38","Domenico Balerion","Thu Nov 21 19:51:45 IST 1968","59","MALE","WHITE"
"39","Pietro Meraxes","Thu Jul 10 13:28:08 IST 1969","25","MALE","RED"
"40","Vergie Meleys","Sat Oct 26 16:51:27 IST 1968","68","MALE","GRAY"
"41","Jamir Caraxes","Thu Apr 24 09:03:53 IST 1969","32","MALE","BLACK"
"42","Modesta Drogon","Fri Jul 04 14:32:23 IST 1969","88","FEMALE","YELLOW"
"43","Johnathan Meleys","Wed Oct 02 09:17:59 IST 1968","81","FEMALE","BROWN"
"44","Julianne Archonei","Mon Feb 24 16:21:39 IST 1969","78","FEMALE","YELLOW"
"45","Consuelo Meleys","Wed Jan 01 19:45:54 IST 1969","47","MALE","GREEN"
"46","Hank Essovius","Sun Feb 16 20:49:52 IST 1969","93","FEMALE","BLUE"
"47","Amiya Shrykos","Tue Apr 15 01:12:56 IST 1969","41","FEMALE","WHITE"
"48","Karen Viserion","Sat Nov 23 14:55:38 IST 1968","13","MALE","GRAY"
"49","Avis Tyraxes","Mon Nov 11 13:15:45 IST 1968","14","FEMALE","GRAY"
"50","Brittany Drogon","Sun Nov 24 02:01:50 IST 1968","37","MALE","GRAY"
"51","Kaleigh Meraxes","Sat May 24 00:37:37 IST 1969","58","FEMALE","WHITE"
"52","Annamae Essovius","Wed Jan 22 22:27:22 IST 1969","88","MALE","GRAY"
"53","Tobin Meleys","Sun Oct 27 00:19:11 IST 1968","14","MALE","RED"
"54","Ariel Meleys","Tue Dec 31 18:25:35 IST 1968","69","MALE","BLUE"
"55","Hobart Dreamfyre","Sun Jan 12 01:40:20 IST 1969","79","MALE","YELLOW"
"56","Otto Tyraxes","Sat Mar 22 23:38:12 IST 1969","28","MALE","YELLOW"
"57","Asha Rhaegal","Tue Jan 07 12:58:42 IST 1969","45","FEMALE","BLUE"
"58","Johann Meleys","Wed May 28 05:57:58 IST 1969","59","MALE","BROWN"
"59","Jadyn Morghul","Sat Jan 25 14:12:22 IST 1969","33","FEMALE","BLACK"
"60","Loma Balerion","Fri Oct 25 11:11:40 IST 1968","72","FEMALE","BLACK"
"61","Cielo Ghiscar","Thu Aug 15 20:12:25 IST 1968","72","MALE","WHITE"
"62","Earline Meraxes","Tue Aug 13 22:29:34 IST 1968","21","MALE","WHITE"
"63","Pearl Meraxes","Fri Jun 27 14:17:32 IST 1969","78","MALE","WHITE"
"64","Alexandrine Drogon","Sat Feb 22 20:31:19 IST 1969","13","FEMALE","YELLOW"
"65","Dortha Morghul","Sat Nov 02 14:27:12 IST 1968","40","FEMALE","GREEN"
"66","Myrtie Sunfyre","Wed Apr 09 04:12:35 IST 1969","55","FEMALE","BLUE"
"67","Bethany Shrykos","Fri Oct 04 17:17:42 IST 1968","47","MALE","BLUE"
"68","Sven Morghul","Sat Mar 08 12:14:13 IST 1969","29","MALE","BROWN"
"69","Kylee Viserion","Sun Apr 13 13:05:30 IST 1969","93","FEMALE","GRAY"
"70","Dedrick Dreamfyre","Fri Jun 27 10:23:31 IST 1969","28","MALE","RED"
"71","Jeffery Syrax","Sun Jun 08 08:30:07 IST 1969","54","FEMALE","WHITE"
"72","Arturo Essovius","Sun Nov 24 23:55:46 IST 1968","10","FEMALE","GREEN"
"73","Eileen Morghul","Wed Aug 21 06:52:18 IST 1968","26","FEMALE","BLUE"
"74","Rebecca Drogon","Fri May 30 16:58:53 IST 1969","93","FEMALE","GREEN"
"75","Hilbert Syrax","Fri Jan 03 14:26:19 IST 1969","55","FEMALE","BLACK"
"76","Noah Ghiscar","Wed Feb 19 11:11:27 IST 1969","88","MALE","BLUE"
"77","Elmo Vermithrax","Tue Jul 16 02:45:46 IST 1968","75","MALE","WHITE"
"78","Hellen Rhaegal","Thu Sep 19 07:54:30 IST 1968","86","MALE","BLUE"
"79","Clarabelle Sunfyre","Thu Dec 19 14:41:16 IST 1968","71","MALE","GRAY"
"80","Noemi Dreamfyre","Mon Sep 30 17:12:43 IST 1968","53","FEMALE","BROWN"
"81","Joany Rhaegal","Mon Aug 26 02:10:24 IST 1968","47","FEMALE","BLACK"
"82","Carroll Meleys","Thu Nov 21 01:11:01 IST 1968","46","MALE","BROWN"
"83","Augustine Vermithrax","Sun Nov 17 23:01:56 IST 1968","23","MALE","YELLOW"
"84","Lilyan Drogon","Fri Aug 09 23:40:25 IST 1968","34","MALE","BLUE"
"85","Madilyn Caraxes","Mon Sep 16 17:24:59 IST 1968","68","MALE","BLUE"
"86","Geoffrey Valryon","Thu Jul 03 03:19:07 IST 1969","61","FEMALE","YELLOW"
"87","Susie Ghiscar","Mon May 26 08:05:25 IST 1969","79","MALE","BROWN"
