"id","firstName","lastName","gender","birthDate","deathDate","height"
"0","Braden","Heaney","MALE","792843774684","4074834174684","175","Braden Heaney"
"1","Evert","Weber","MALE","-733082855765","2233374744235","182","Evert Weber"
"2","Walton","Little","MALE","-425496543178","2256877856822","184","Walton Little"
"3","Vicenta","Shields","MALE","-1849683122928","-50833882928","183","Vicenta Shields"
"4","Trudie","Green","FEMALE","257046359744","2087343959744","180","Trudie Green"
"5","Nikita","VonRueden","FEMALE","-1849408712151","485894527849","172","Nikita VonRueden"
"6","Enrico","Schumm","MALE","-38284484281","2012934315719","182","Enrico Schumm"
"7","Ezequiel","Johnston","FEMALE","217261749602","2426250549602","175","Ezequiel Johnston"
"8","Kaylah","Rippin","MALE","887923824737","2907610224737","179","Kaylah Rippin"
"9","Lucious","Becker","MALE","-1353868576762","476515423238","168","Lucious Becker"
"10","Cullen","Luettgen","MALE","-347271113699","2303567286301","176","Cullen Luettgen"
"11","Carolyn","Veum","MALE","784045689615","3024656889615","175","Carolyn Veum"
"12","Mariana","Kerluke","FEMALE","528526213924","3305591413924","181","Mariana Kerluke"
"13","Prince","Hauck","FEMALE","597205610299","3342652010299","175","Prince Hauck"
"14","Elinor","Lang","MALE","19797543715","2544401943715","173","Elinor Lang"
"15","Pierce","Wiza","FEMALE","706709115400","3483777915400","183","Pierce Wiza"
"16","Hailey","Bauch","FEMALE","-1048170471542","1949733128458","180","Hailey Bauch"
"17","Damian","Reinger","FEMALE","-459569749842","1749501850158","180","Damian Reinger"
"18","Lue","Mohr","MALE","-1680045561647","1475712078353","174","Lue Mohr"
"19","Gabe","Bartoletti","FEMALE","905105087546","3335015087546","174","Gabe Bartoletti"
"20","Deangelo","Thiel","FEMALE","47379173550","2824444373550","187","Deangelo Thiel"
"21","Frederique","Macejkovic","MALE","-1924820116039","631325123961","179","Frederique Macejkovic"
"22","Elza","Krajcik","MALE","-57811777805","2687634622195","177","Elza Krajcik"
"23","Reuben","Corkery","MALE","-759977483630","1606864116370","166","Reuben Corkery"
"24","Samantha","Schumm","FEMALE","-1252653259352","1461339940648","178","Samantha Schumm"
"25","Harley","Nicolas","FEMALE","-1014957896967","1541186103033","179","Harley Nicolas"
"26","Oral","Sauer","MALE","-1563790223759","1686574176241","182","Oral Sauer"
"27","Alta","Beatty","MALE","294262826422","3008256026422","163","Alta Beatty"
"28","Dante","Wolf","MALE","-193397270665","2110372329335","168","Dante Wolf"
"29","Roscoe","Monahan","FEMALE","-1551726938014","972881061986","173","Roscoe Monahan"
"30","Kaylah","Powlowski","MALE","-673067385371","1441227014629","182","Kaylah Powlowski"
"31","Maverick","Harris","FEMALE","48235788794","2320379388794","159","Maverick Harris"
"32","Lynn","Schulist","MALE","-1087038452132","1058874747868","164","Lynn Schulist"
"33","Cicero","Stokes","FEMALE","-462305994001","1872996005999","160","Cicero Stokes"
"34","Paris","Fadel","FEMALE","-198634511459","1978901088541","171","Paris Fadel"
"35","Bridie","Reilly","FEMALE","-1727784955738","1617361484262","182","Bridie Reilly"
"36","Jonathon","Vandervort","MALE","-1959158712629","-570623072629","174","Jonathon Vandervort"
"37","Nicholas","Miller","FEMALE","721324909600","3088080109600","180","Nicholas Miller"
"38","Karen","Roob","MALE","699349770322","2466575370322","175","Karen Roob"
"39","Timothy","Kozey","MALE","-653445154119","2249850445881","179","Timothy Kozey"
"40","Kaylin","Morissette","MALE","-2112884328670","-30038288670","162","Kaylin Morissette"
"41","Jeffery","Kilback","FEMALE","218020793504","3689313593504","179","Jeffery Kilback"
"42","Cheyanne","Brown","FEMALE","-335353065077","1968412934923","175","Cheyanne Brown"
"43","Doug","Kulas","FEMALE","-439972168208","2337096631792","180","Doug Kulas"
"44","Marc","Grant","FEMALE","-1511143636756","1549921963244","178","Marc Grant"
"45","Kyler","Toy","FEMALE","-366558559501","1400663440499","174","Kyler Toy"
"46","Ova","Medhurst","FEMALE","-963738438221","1087566761779","164","Ova Medhurst"
"47","Desmond","Lubowitz","MALE","-818433426450","1643102573550","174","Desmond Lubowitz"
"48","Bonnie","Quigley","MALE","-2047359346173","1076779493827","170","Bonnie Quigley"
"49","Leonora","Schowalter","FEMALE","-425717483858","1783271316142","177","Leonora Schowalter"
"50","Maiya","Schulist","MALE","104202106862","3701721706862","176","Maiya Schulist"
"51","Bruce","Schultz","MALE","-1682569085667","1441566154333","180","Bruce Schultz"
"52","Christiana","Friesen","MALE","-484095888055","2576969711945","175","Christiana Friesen"
"53","Alexandrea","Gutkowski","FEMALE","531392901747","2014621701747","176","Alexandrea Gutkowski"
"54","Jewell","O'Hara","MALE","897788284443","3327701884443","176","Jewell O'Hara"
"55","Dakota","Murphy","FEMALE","-155931774372","2337053825628","178","Dakota Murphy"
"56","Cooper","Langosh","MALE","-337819842043","1555632557957","169","Cooper Langosh"
"57","Xavier","Paucek","FEMALE","-1088499806622","1152107793378","180","Xavier Paucek"
"58","Carlos","Corkery","FEMALE","-1418608056905","853539143095","183","Carlos Corkery"
"59","Elenor","O'Conner","FEMALE","-1187571794766","1968184605234","174","Elenor O'Conner"
"60","Vanessa","Brekke","FEMALE","-707036606367","902418993633","176","Vanessa Brekke"
"61","Christiana","Schinner","MALE","709229541478","3107607141478","181","Christiana Schinner"
"62","Damien","Schimmel","MALE","-348202651741","3154712548259","177","Damien Schimmel"
"63","Sonny","Klein","FEMALE","-403211438502","2910314961498","171","Sonny Klein"
"64","Johnny","DuBuque","FEMALE","-721103583451","919891616549","166","Johnny DuBuque"
"65","Wendell","Rutherford","MALE","-847628347895","824902852105","181","Wendell Rutherford"
